E /V,I /mA
0.2,-0.00194
0.199,-0.00199
0.198,-0.00206
0.197,-0.00207
0.196,-0.00221
0.195,-0.00219
0.194,-0.00221
0.193,-0.00231
0.192,-0.0023
0.191,-0.00227
0.19,-0.00227
0.189,-0.00232
0.188,-0.00239
0.187,-0.00236
0.186,-0.00246
0.185,-0.00239
0.184,-0.00247
0.183,-0.00253
0.182,-0.00251
0.181,-0.00257
0.18,-0.00259
0.179,-0.00267
0.178,-0.00269
0.177,-0.00269
0.176,-0.00274
0.175,-0.00283
0.174,-0.0028
0.173,-0.00282
0.172,-0.00288
0.171,-0.00297
0.17,-0.00289
0.169,-0.00293
0.168,-0.00298
0.167,-0.00295
0.166,-0.00297
0.165,-0.00297
0.164,-0.00294
0.163,-0.00297
0.162,-0.00304
0.161,-0.00312
0.16,-0.00306
0.159,-0.00304
0.158,-0.0031
0.157,-0.00312
0.156,-0.00312
0.155,-0.00314
0.154,-0.00327
0.153,-0.00326
0.152,-0.00324
0.151,-0.00329
0.15,-0.00334
0.149,-0.00337
0.148,-0.00334
0.147,-0.00339
0.146,-0.00341
0.145,-0.0034
0.144,-0.00348
0.143,-0.00351
0.142,-0.00358
0.141,-0.0035
0.14,-0.00356
0.139,-0.00365
0.138,-0.00368
0.137,-0.00364
0.136,-0.00365
0.135,-0.00365
0.134,-0.00374
0.133,-0.00369
0.132,-0.0038
0.131,-0.00386
0.13,-0.0038
0.129,-0.00394
0.128,-0.00385
0.127,-0.00387
0.126,-0.00392
0.125,-0.00403
0.124,-0.00402
0.123,-0.00406
0.122,-0.00415
0.121,-0.00414
0.12,-0.00426
0.119,-0.0042
0.118,-0.00421
0.117,-0.00429
0.116,-0.00435
0.115,-0.0044
0.114,-0.00438
0.113,-0.00445
0.112,-0.00451
0.111,-0.00448
0.11,-0.00457
0.109,-0.00439
0.108,-0.00453
0.107,-0.00449
0.106,-0.00456
0.105,-0.00459
0.104,-0.00458
0.103,-0.00461
0.102,-0.00469
0.101,-0.00467
0.1,-0.00474
0.099,-0.00473
0.098,-0.00474
0.097,-0.0048
0.096,-0.00478
0.095,-0.0049
0.094,-0.00494
0.093,-0.00498
0.092,-0.00485
0.091,-0.005
0.09,-0.00498
0.089,-0.00505
0.088,-0.00503
0.087,-0.00509
0.086,-0.00516
0.085,-0.00519
0.084,-0.00518
0.083,-0.00522
0.082,-0.00529
0.081,-0.0053
0.08,-0.00532
0.079,-0.00532
0.078,-0.00535
0.077,-0.00537
0.076,-0.0054
0.075,-0.00539
0.074,-0.00549
0.073,-0.00554
0.072,-0.00556
0.071,-0.00558
0.07,-0.00564
0.069,-0.0056
0.068,-0.00574
0.067,-0.00573
0.066,-0.00579
0.065,-0.00588
0.064,-0.00597
0.063,-0.00595
0.062,-0.00595
0.061,-0.00604
0.06,-0.006
0.059,-0.00605
0.058,-0.00602
0.057,-0.00612
0.056,-0.00614
0.055,-0.00619
0.054,-0.00614
0.053,-0.00622
0.052,-0.00621
0.051,-0.00621
0.05,-0.00627
0.049,-0.00636
0.048,-0.00633
0.047,-0.00633
0.046,-0.00644
0.045,-0.00642
0.044,-0.0065
0.043,-0.00644
0.042,-0.00647
0.041,-0.00658
0.04,-0.00657
0.039,-0.00667
0.038,-0.00676
0.037,-0.00678
0.036,-0.00677
0.035,-0.00684
0.034,-0.00686
0.033,-0.00684
0.032,-0.00681
0.031,-0.00694
0.03,-0.00697
0.029,-0.00696
0.028,-0.00698
0.027,-0.00698
0.026,-0.00706
0.025,-0.00704
0.024,-0.00716
0.023,-0.00707
0.022,-0.00713
0.021,-0.00724
0.02,-0.00732
0.019,-0.00724
0.018,-0.00731
0.017,-0.0073
0.016,-0.00737
0.015,-0.00735
0.014,-0.00741
0.013,-0.00746
0.012,-0.00747
0.011,-0.00743
0.01,-0.00752
0.009,-0.00756
0.008,-0.00768
0.007,-0.00764
0.006,-0.00768
0.005,-0.00769
0.004,-0.00774
0.003,-0.00778
0.002,-0.00777
0.001,-0.00786
0,-0.00789
-0.001,-0.0079
-0.002,-0.00794
-0.003,-0.0079
-0.004,-0.00795
-0.005,-0.00796
-0.006,-0.00799
-0.007,-0.00804
-0.008,-0.00814
-0.009,-0.00807
-0.01,-0.00806
-0.011,-0.00816
-0.012,-0.0081
-0.013,-0.00821
-0.014,-0.00818
-0.015,-0.00823
-0.016,-0.00827
-0.017,-0.00832
-0.018,-0.00831
-0.019,-0.00838
-0.02,-0.00836
-0.021,-0.00837
-0.022,-0.0085
-0.023,-0.00845
-0.024,-0.00846
-0.025,-0.00841
-0.026,-0.00841
-0.027,-0.00851
-0.028,-0.00847
-0.029,-0.0085
-0.03,-0.00856
-0.031,-0.00863
-0.032,-0.00862
-0.033,-0.00865
-0.034,-0.00864
-0.035,-0.00872
-0.036,-0.0087
-0.037,-0.00869
-0.038,-0.00869
-0.039,-0.00871
-0.04,-0.00881
-0.041,-0.00876
-0.042,-0.00881
-0.043,-0.00882
-0.044,-0.0088
-0.045,-0.00886
-0.046,-0.00888
-0.047,-0.00893
-0.048,-0.00901
-0.049,-0.00898
-0.05,-0.00897
-0.051,-0.00907
-0.052,-0.00903
-0.053,-0.00907
-0.054,-0.00912
-0.055,-0.00911
-0.056,-0.00912
-0.057,-0.00912
-0.058,-0.0091
-0.059,-0.00909
-0.06,-0.00911
-0.061,-0.00911
-0.062,-0.00916
-0.063,-0.00916
-0.064,-0.00918
-0.065,-0.00921
-0.066,-0.00928
-0.067,-0.00917
-0.068,-0.00929
-0.069,-0.00926
-0.07,-0.00928
-0.071,-0.00935
-0.072,-0.00937
-0.073,-0.00933
-0.074,-0.00927
-0.075,-0.00932
-0.076,-0.00932
-0.077,-0.0094
-0.078,-0.00937
-0.079,-0.00932
-0.08,-0.0094
-0.081,-0.00939
-0.082,-0.00939
-0.083,-0.0094
-0.084,-0.00937
-0.085,-0.00946
-0.086,-0.00942
-0.087,-0.00947
-0.088,-0.00946
-0.089,-0.00944
-0.09,-0.00949
-0.091,-0.00947
-0.092,-0.00947
-0.093,-0.00957
-0.094,-0.0095
-0.095,-0.00951
-0.096,-0.00958
-0.097,-0.00962
-0.098,-0.00951
-0.099,-0.00957
-0.1,-0.0096
-0.101,-0.00953
-0.102,-0.00965
-0.103,-0.00963
-0.104,-0.00965
-0.105,-0.00966
-0.106,-0.00972
-0.107,-0.00973
-0.108,-0.00968
-0.109,-0.00973
-0.11,-0.00977
-0.111,-0.00976
-0.112,-0.00978
-0.113,-0.00979
-0.114,-0.00976
-0.115,-0.00965
-0.116,-0.00971
-0.117,-0.00971
-0.118,-0.0098
-0.119,-0.00977
-0.12,-0.00983
-0.121,-0.00968
-0.122,-0.00973
-0.123,-0.00981
-0.124,-0.00982
-0.125,-0.00977
-0.126,-0.00982
-0.127,-0.00977
-0.128,-0.00985
-0.129,-0.00983
-0.13,-0.00988
-0.131,-0.00986
-0.132,-0.00987
-0.133,-0.00988
-0.134,-0.00989
-0.135,-0.00992
-0.136,-0.00986
-0.137,-0.00985
-0.138,-0.00987
-0.139,-0.0099
-0.14,-0.00987
-0.141,-0.00999
-0.142,-0.01
-0.143,-0.0101
-0.144,-0.00999
-0.145,-0.01
-0.146,-0.01
-0.147,-0.01
-0.148,-0.0101
-0.149,-0.01
-0.15,-0.0101
-0.151,-0.0102
-0.152,-0.0101
-0.153,-0.0102
-0.154,-0.0102
-0.155,-0.0101
-0.156,-0.0101
-0.157,-0.0102
-0.158,-0.0102
-0.159,-0.0103
-0.16,-0.0103
-0.161,-0.0103
-0.162,-0.0103
-0.163,-0.0103
-0.164,-0.0104
-0.165,-0.0104
-0.166,-0.0103
-0.167,-0.0104
-0.168,-0.0104
-0.169,-0.0104
-0.17,-0.0104
-0.171,-0.0105
-0.172,-0.0104
-0.173,-0.0104
-0.174,-0.0105
-0.175,-0.0105
-0.176,-0.0106
-0.177,-0.0106
-0.178,-0.0106
-0.179,-0.0106
-0.18,-0.0106
-0.181,-0.0107
-0.182,-0.0107
-0.183,-0.0108
-0.184,-0.0108
-0.185,-0.0108
-0.186,-0.0109
-0.187,-0.011
-0.188,-0.0109
-0.189,-0.0111
-0.19,-0.0111
-0.191,-0.0112
-0.192,-0.0112
-0.193,-0.0113
-0.194,-0.0113
-0.195,-0.0114
-0.196,-0.0116
-0.197,-0.0117
-0.198,-0.0118
-0.199,-0.0119
-0.2,-0.012
-0.201,-0.0121
-0.202,-0.0122
-0.203,-0.0123
-0.204,-0.0125
-0.205,-0.0127
-0.206,-0.0128
-0.207,-0.013
-0.208,-0.0132
-0.209,-0.0135
-0.21,-0.0137
-0.211,-0.0139
-0.212,-0.0141
-0.213,-0.0144
-0.214,-0.0147
-0.215,-0.015
-0.216,-0.0154
-0.217,-0.0157
-0.218,-0.0161
-0.219,-0.0165
-0.22,-0.0169
-0.221,-0.0173
-0.222,-0.0179
-0.223,-0.0184
-0.224,-0.019
-0.225,-0.0195
-0.226,-0.0202
-0.227,-0.0208
-0.228,-0.0215
-0.229,-0.0223
-0.23,-0.0232
-0.231,-0.0241
-0.232,-0.0251
-0.233,-0.0261
-0.234,-0.0272
-0.235,-0.0283
-0.236,-0.0296
-0.237,-0.0309
-0.238,-0.0324
-0.239,-0.0338
-0.24,-0.0355
-0.241,-0.0372
-0.242,-0.0391
-0.243,-0.041
-0.244,-0.0431
-0.245,-0.0453
-0.246,-0.0477
-0.247,-0.0502
-0.248,-0.0529
-0.249,-0.0557
-0.25,-0.0588
-0.251,-0.062
-0.252,-0.0654
-0.253,-0.069
-0.254,-0.0728
-0.255,-0.0768
-0.256,-0.0812
-0.257,-0.0856
-0.258,-0.0902
-0.259,-0.0953
-0.26,-0.101
-0.261,-0.106
-0.262,-0.112
-0.263,-0.118
-0.264,-0.125
-0.265,-0.132
-0.266,-0.139
-0.267,-0.146
-0.268,-0.154
-0.269,-0.162
-0.27,-0.171
